HEAD
make,model,vehicle_type,powertrain,coef
nissan,leaf,car,bev,6606.818360659356
bmw,i3,car,bev,6277.353368960759
tesla,model 3,car,bev,6523.122967469785
tesla,model s,car,bev,9176.724604508285
kia,soul,car,bev,5688.784561891039
volkswagen,e-golf,car,bev,6362.257192205591
fiat,500e,car,bev,5408.45467026963
chevrolet,bolt ev,car,bev,3583.772664556052
ford,focus,car,bev,5790.102078408102
chevrolet,spark,car,bev,5320.998905315091
porsche,taycan,car,bev,6262.82021775442
smart,fortwo,car,bev,3628.8936090733678
hyundai,ioniq,car,bev,9160.394812000535
mitsubishi,i-miev,car,bev,2582.8669249557197
mini,hardtop 2 door,car,bev,5663.846639551718
ford,fusion,car,cv,12076.978650225981
ford,mustang,car,cv,8183.8257335799035
ford,focus,car,cv,10363.395903292707
ford,taurus,car,cv,12070.376741414248
honda,civic hatchback,car,cv,11066.906371295134
honda,civic,car,cv,11761.397578512353
honda,accord,car,cv,12651.642171505706
hyundai,accent,car,cv,9548.832012494713
hyundai,elantra,car,cv,10664.678709001759
hyundai,sonata,car,cv,12122.538607442108
kia,optima,car,cv,11506.591677483852
kia,soul,car,cv,10243.459178244815
lexus,es,car,cv,10717.833469436644
lexus,is,car,cv,11056.227556562939
lincoln,mkz,car,cv,11179.550791724554
mazda,mazda6,car,cv,11926.82706785193
mercedes-benz,c-class,car,cv,10406.12418735329
honda,fit,car,cv,10626.814687834718
kia,forte,car,cv,11603.5087170909
mazda,mazda3,car,cv,11327.82778268268
mercedes-benz,c-class sedan,car,cv,9214.120941568077
mercedes-benz,e-class,car,cv,9764.383555254819
mercedes-benz,s-class,car,cv,8808.91473705213
mini,cooper,car,cv,9106.662842143918
nissan,altima,car,cv,11361.134678041448
nissan,maxima,car,cv,11497.055148266956
nissan,altima sedan,car,cv,10113.902901534537
nissan,sentra,car,cv,11028.6169635003
nissan,versa sedan,car,cv,9853.181272931202
nissan,versa note,car,cv,9602.888861608997
subaru,impreza,car,cv,11758.582384282474
subaru,legacy,car,cv,12322.236930301882
subaru,outback,car,cv,13056.797338661076
toyota,avalon,car,cv,10213.497996137747
toyota,camry,car,cv,11227.202411905706
toyota,corolla,car,cv,10368.690386509461
volkswagen,jetta,car,cv,11721.581272614929
volkswagen,passat,car,cv,11487.489965507693
dodge,charger,car,cv,12286.437385008776
chevrolet,malibu,car,cv,10370.419315110299
bmw,5 series,car,cv,11041.52539805947
chevrolet,cruze,car,cv,12256.306017838657
chrysler,300,car,cv,10696.578337005303
bmw,3 series,car,cv,10507.115393839033
chrysler,200,car,cv,11514.762016518462
chevrolet,sonic,car,cv,10127.9986042674
acura,tlx,car,cv,11927.639905512116
chevrolet,camaro,car,cv,8485.612661592699
dodge,challenger,car,cv,9210.359260330128
infiniti,q50,car,cv,10762.799306980314
audi,a4,car,cv,11513.866098937378
bmw,4 series,car,cv,9116.131494525305
chevrolet,corvette,car,cv,3812.7337050712163
chevrolet,impala,car,cv,10484.229969133155
dodge,avenger,car,cv,11160.385614195733
dodge,dart,car,cv,10678.412256903643
ford,fiesta,car,cv,9476.479660346136
acura,tl,car,cv,11761.003879241973
kia,k5,car,cv,9455.045466837355
nissan,rogue,cuv,cv,11434.48403623968
nissan,pathfinder,cuv,cv,12517.278520040098
subaru,forester,cuv,cv,12454.266320662871
subaru,xv crosstrek,cuv,cv,12337.059436385769
toyota,highlander,cuv,cv,12639.104701689857
toyota,rav4,cuv,cv,10995.420021244667
volkswagen,atlas,cuv,cv,11818.373569124178
volkswagen,tiguan,cuv,cv,10994.68926605704
volvo,xc90,cuv,cv,12612.907855208327
volvo,xc60,cuv,cv,12056.608193261913
buick,encore,cuv,cv,10852.202429314666
toyota,venza,cuv,cv,12240.346895851833
bmw,x1,cuv,cv,10572.821104472045
nissan,rogue sport,cuv,cv,9863.937841429564
acura,mdx,cuv,cv,13159.194479158805
acura,rdx,cuv,cv,12071.888033017189
audi,q7,cuv,cv,12346.890635903384
audi,q3,cuv,cv,10505.294350822856
audi,q5,cuv,cv,11651.90085507738
bmw,x3,cuv,cv,10754.083195966103
buick,enclave,cuv,cv,13343.729438234697
cadillac,srx,cuv,cv,10819.455857774263
chevrolet,equinox,cuv,cv,12921.544814083834
chevrolet,traverse,cuv,cv,14211.758619494667
chevrolet,trax,cuv,cv,11941.842734433665
dodge,journey,cuv,cv,13108.729116146265
ford,escape,cuv,cv,12771.195497408466
gmc,acadia,cuv,cv,14035.786855347329
honda,cr-v,cuv,cv,12319.357006307951
honda,pilot,cuv,cv,14349.437729898164
hyundai,tucson,cuv,cv,11099.85415708482
hyundai,santa fe,cuv,cv,12175.714176615964
jeep,compass,cuv,cv,11379.890798050308
kia,sorento,cuv,cv,12846.627304221334
kia,sportage,cuv,cv,11219.758872875294
jeep,patriot,cuv,cv,11508.911260047103
jeep,renegade,cuv,cv,11269.603648804672
lexus,rx,cuv,cv,11220.527707849313
lincoln,mkc,cuv,cv,11315.820503758505
lincoln,mkx,cuv,cv,12002.460109143252
mazda,cx-9,cuv,cv,12497.166810435181
mercedes-benz,glk-class,cuv,cv,10696.326169832468
mercedes-benz,gle-class,cuv,cv,10065.884922473226
mitsubishi,outlander,cuv,cv,11366.793983531656
mitsubishi,outlander sport,cuv,cv,10236.10175522147
nissan,murano,cuv,cv,11567.196833071035
subaru,crosstrek,cuv,cv,11803.871636365848
cadillac,xt5,cuv,cv,9788.412271176068
gmc,terrain,cuv,cv,12690.292575169224
mercedes-benz,glc-class,cuv,cv,8886.943161996984
mini,countryman,cuv,cv,9944.194455690485
bmw,x5,cuv,cv,11404.717354802067
buick,envision,cuv,cv,10810.516296800644
chevrolet,blazer,cuv,cv,10263.81539019472
subaru,ascent,cuv,cv,13237.510362159503
ford,edge,cuv,cv,11219.967337218777
kia,telluride,cuv,cv,16111.973996588811
lexus,nx,cuv,cv,10377.918275948441
mazda,cx-5,cuv,cv,11076.522792102603
mercedes-benz,gl-class,cuv,cv,11309.282772140334
mercedes-benz,gla-class,cuv,cv,9675.326534059937
mercedes-benz,glc,cuv,cv,10296.601019904636
mercedes-benz,m-class,cuv,cv,10906.91473120256
porsche,macan,cuv,cv,9499.893512360608
honda,hr-v,cuv,cv,10481.575490277304
hyundai,palisade,cuv,cv,14320.729509020593
hyundai,kona,cuv,cv,9433.203230360388
infiniti,qx60,cuv,cv,12605.834000694742
mercedes-benz,gle,cuv,cv,9955.70418412433
nissan,kicks,cuv,cv,10879.18256123268
nissan,juke,cuv,cv,11037.346030420002
nissan,rogue select,cuv,cv,12697.931349080722
toyota,c-hr,cuv,cv,12899.346431010446
buick,encore gx,cuv,cv,7179.316684671053
ford,ecosport,cuv,cv,9000.938455340329
honda,odyssey,minivan,cv,13970.664279480261
toyota,sienna,minivan,cv,12213.008767875483
chrysler,pacifica,minivan,cv,10288.45368215905
kia,sedona,minivan,cv,12352.25237548775
mazda,mazda5,minivan,cv,9807.932193036624
nissan,quest,minivan,cv,11582.867035501833
ford,transit connect,minivan,cv,11870.43781891605
chrysler,town & country,minivan,cv,13093.40116527036
nissan,cube,minivan,cv,10343.532624564403
kia,carnival,minivan,cv,10238.82912498668
dodge,grand caravan,minivan,cv,10685.25120448019
fiat,500l,minivan,cv,9529.699796980745
volkswagen,routan,minivan,cv,9882.759299156563
chrysler,pt cruiser,minivan,cv,14068.16148978928
mercedes-benz,r-class,minivan,cv,7826.610239940332
chevrolet,hhr,minivan,cv,7977.279955125512
chrysler,voyager,minivan,cv,9994.735962942956
kia,rondo,minivan,cv,1712.8105925243194
mazda,cx-30,cuv,cv,8266.803160490275
ford,f-150,pickup,cv,14495.176715686695
gmc,canyon,pickup,cv,11517.527267927944
gmc,sierra 1500,pickup,cv,13732.85810894147
gmc,sierra 1500 denali,pickup,cv,13227.979316948127
honda,ridgeline,pickup,cv,12554.897818078962
nissan,frontier,pickup,cv,11713.92801703329
nissan,titan,pickup,cv,12933.7097240197
ram,ram 2500 pickup,pickup,cv,13882.008714129683
ram,ram 1500 pickup,pickup,cv,13716.53379810252
ram,ram 1500 classic,pickup,cv,13924.869205092458
toyota,tacoma,pickup,cv,12236.540785157942
toyota,tundra,pickup,cv,13375.89276134368
chevrolet,colorado,pickup,cv,12005.69882751298
chevrolet,silverado 1500 ld,pickup,cv,15059.245231241093
chevrolet,silverado 1500,pickup,cv,13833.431860966753
chevrolet,silverado 2500hd,pickup,cv,14027.833344206152
dodge,ram 1500 pickup,pickup,cv,13631.728711487183
ford,f-250 super duty,pickup,cv,14355.918460829591
ford,ranger,pickup,cv,10467.624182745667
jeep,gladiator,pickup,cv,10965.943905945509
